RAW Data export file (tab separated)


Client:	,SA95
Session:	SA95BP-6.75to4.25 
Date:	01-07-2018
Time:	14:33:24
Duration:	985	Seconds.
Output rate:	256	Samples/sec.

256 SPS	32 SPS	
Sensor-B:ECG/EKG	Sensor-G:RSP	


528.833	664.008
7432.347	664.008
16348.497	664.008
18285.000	664.008
16913.396	664.008
16352.688	664.008
16602.969	664.008
16772.717	664.008
16741.586	664.536
16701.520	664.536
16711.158	664.536
16728.268	664.536
16737.689	664.536
16744.629	664.536
16748.271	664.536
16750.611	664.536
16762.555	664.394
16778.168	664.394
16793.168	664.394
16808.648	664.394
16825.350	664.394
16836.125	664.394
16843.211	664.394
16855.949	664.394
16867.027	664.258
16908.080	664.258
16917.549	664.258
16934.965	664.258
16945.031	664.258
16954.977	664.258
16961.951	664.258
16986.863	664.258
16993.072	664.108
17008.340	664.108
17012.369	664.108
17012.520	664.108
17002.818	664.108
16991.154	664.108
16983.887	664.108
16955.320	664.108
16933.850	663.905
16911.967	663.905
16890.553	663.905
16864.475	663.905
16837.117	663.905
16816.275	663.905
16803.469	663.905
16786.117	663.905
16773.498	663.734
16768.746	663.734
16759.834	663.734
16750.061	663.734
16745.885	663.734
16746.830	663.734
16748.852	663.734
16746.447	663.734
16744.416	663.634
16741.656	663.634
16739.145	663.634
16742.881	663.634
16747.410	663.634
16747.221	663.634
16745.713	663.634
16742.566	663.634
16736.785	663.587
16737.107	663.587
16745.990	663.587
16749.338	663.587
16754.906	663.587
16750.939	663.587
16747.848	663.587
16749.428	663.587
16753.668	663.583
16754.363	663.583
16756.688	663.583
16761.885	663.583
16762.570	663.583
16760.660	663.583
16757.842	663.583
16757.686	663.583
16762.379	663.585
16766.137	663.585
16766.377	663.585
16763.059	663.585
16758.932	663.585
16757.082	663.585
16752.783	663.585
16740.955	663.585
16735.920	663.579
16743.031	663.579
16744.449	663.579
16735.035	663.579
16730.930	663.579
16731.699	663.579
16728.486	663.579
16723.848	663.579
16719.023	663.587
16716.793	663.587
16716.760	663.587
16714.479	663.587
16707.885	663.587
16699.525	663.587
16694.900	663.587
16693.039	663.587
16688.354	663.592
16688.420	663.592
16689.336	663.592
16683.361	663.592
16681.348	663.592
16677.689	663.592
16676.535	663.592
16678.010	663.592
16676.049	663.561
16670.828	663.561
16669.316	663.561
16673.525	663.561
16674.285	663.561
16670.908	663.561
16668.426	663.561
16666.744	663.561
16665.402	663.495
16661.193	663.495
16665.625	663.495
16669.678	663.495
16671.334	663.495
16668.012	663.495
16664.580	663.495
16662.859	663.495
16661.000	663.441
16657.648	663.441
16655.354	663.441
16654.047	663.441
16651.793	663.441
16653.111	663.441
16655.840	663.441
16653.508	663.441
16649.621	663.347
16649.729	663.347
16648.189	663.347
16657.010	663.347
16666.893	663.347
16666.730	663.347
16657.803	663.347
16647.428	663.347
16644.434	663.287
16663.537	663.287
